,name,categories
1,mscoco/images/COCO_train2014_000000144608.jpg,"Fatigue,Happiness"
2,emodb_small/images/ebpsbjqzfhd7efh00i.jpg,"Pain,Sadness,Sensitivity,Suffering"
3,emodb_small/images/ebpsbjqzfhd7efh00i.jpg,"Sadness,Suffering,Sympathy"
4,emodb_small/images/ebpsbjqzfhd7efh00i.jpg,"Fear,Sadness,Suffering"
5,framesdb/images/frame_k245twaqc30i5imc.jpg,Engagement
6,framesdb/images/frame_dkwhvgj0m40g01gs.jpg,Happiness
7,framesdb/images/frame_fjgek3oeqc8r0e3o.jpg,Engagement
9,framesdb/images/frame_95x221h7yj814qxc.jpg,Engagement
10,framesdb/images/frame_95x221h7yj814qxc.jpg,Disconnection
11,framesdb/images/frame_erwzk3npaleubsqm.jpg,Engagement
12,framesdb/images/frame_erwzk3npaleubsqm.jpg,Annoyance
13,framesdb/images/frame_erwzk3npaleubsqm.jpg,Engagement
14,framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,"Anticipation,Engagement,Happiness"
15,framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,"Anticipation,Engagement,Happiness"
16,framesdb/images/frame_b1v3bzyq8s4ucvy1.jpg,Engagement
17,mscoco/images/COCO_train2014_000000563727.jpg,Engagement
18,emodb_small/images/gs84txnh5el02zkbp9.jpg,"Anger,Aversion,Disapproval"
19,framesdb/images/frame_aztc78d4kjclxv9e.jpg,"Anticipation,Engagement,Happiness"
20,framesdb/images/frame_aztc78d4kjclxv9e.jpg,"Anticipation,Engagement"
21,framesdb/images/frame_aztc78d4kjclxv9e.jpg,Engagement
22,framesdb/images/frame_7nseu023ccmqaj3p.jpg,"Affection,Happiness,Peace"
23,framesdb/images/frame_7nseu023ccmqaj3p.jpg,"Happiness,Peace,Pleasure"
25,framesdb/images/frame_7nseu023ccmqaj3p.jpg,Peace
26,framesdb/images/frame_j44zhny87dief9zp.jpg,Happiness
27,framesdb/images/frame_j44zhny87dief9zp.jpg,"Engagement,Peace"
28,framesdb/images/frame_j44zhny87dief9zp.jpg,"Engagement,Peace"
29,framesdb/images/frame_kpokdxsxymvz4qk3.jpg,Engagement
30,framesdb/images/frame_08cmg83x4uc6vay4.jpg,Engagement
31,framesdb/images/frame_08cmg83x4uc6vay4.jpg,Engagement
33,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Engagement
34,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,"Confidence,Esteem,Happiness,Pleasure"
35,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Engagement
37,framesdb/images/frame_3jwi6nrvfphi4lp6.jpg,Engagement
38,framesdb/images/frame_hzo04gqf487tm689.jpg,Engagement
40,framesdb/images/frame_hzo04gqf487tm689.jpg,"Happiness,Peace"
42,framesdb/images/frame_8bcjgl84a80cguy5.jpg,Disconnection
43,framesdb/images/frame_8bcjgl84a80cguy5.jpg,"Anticipation,Happiness"
44,framesdb/images/frame_bwnq9ntic9dpamg2.jpg,Engagement
45,framesdb/images/frame_bwnq9ntic9dpamg2.jpg,"Anticipation,Engagement,Happiness"
46,emodb_small/images/78tk87458zwsmxaoi7.jpg,"Disquietment,Doubt/Confusion,Fatigue,Sensitivity,Suffering"
47,framesdb/images/frame_6290od7o4jvss70n.jpg,"Anticipation,Doubt/Confusion,Engagement"
48,framesdb/images/frame_gq8umfw35sg36nlq.jpg,"Affection,Confidence,Engagement"
49,framesdb/images/frame_gq8umfw35sg36nlq.jpg,"Engagement,Excitement,Happiness"
50,emodb_small/images/h705hnfsvdwf6mh2xw.jpg,"Anger,Annoyance,Aversion,Engagement"
51,emodb_small/images/h705hnfsvdwf6mh2xw.jpg,"Anger,Annoyance"
52,mscoco/images/COCO_train2014_000000282027.jpg,Anticipation
53,framesdb/images/frame_88u3mzsacaic5583.jpg,Engagement
54,framesdb/images/frame_hdepjixs67t3l4zo.jpg,"Excitement,Happiness"
55,framesdb/images/frame_hdepjixs67t3l4zo.jpg,Doubt/Confusion
56,framesdb/images/frame_hdepjixs67t3l4zo.jpg,Engagement
57,emodb_small/images/ab3l4riuiqrc4ivkqk.jpg,"Disconnection,Peace"
58,emodb_small/images/4le1bbiky5djx0iuln.jpg,"Confidence,Esteem,Happiness"
59,emodb_small/images/4le1bbiky5djx0iuln.jpg,Excitement
61,framesdb/images/frame_482f0lsguoiv0sk6.jpg,Excitement
62,framesdb/images/frame_482f0lsguoiv0sk6.jpg,Engagement
64,framesdb/images/frame_ddghjgrf7k9jei5j.jpg,Engagement
65,framesdb/images/frame_7qztqnocqk4d67lc.jpg,"Anticipation,Confidence,Happiness"
66,framesdb/images/frame_7qztqnocqk4d67lc.jpg,"Anticipation,Doubt/Confusion,Engagement"
67,framesdb/images/frame_hkvjon62ft6acgnx.jpg,"Anticipation,Confidence,Engagement"
69,framesdb/images/frame_6x5lpc7dh3yvrnc3.jpg,"Confidence,Engagement,Pleasure"
70,framesdb/images/frame_6x5lpc7dh3yvrnc3.jpg,Engagement
71,framesdb/images/frame_jsnriwfd0ffphs5g.jpg,"Affection,Happiness,Pleasure"
72,framesdb/images/frame_jsnriwfd0ffphs5g.jpg,Engagement
73,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,"Anticipation,Engagement"
74,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,Engagement
75,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,"Disapproval,Embarrassment"
76,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,"Confidence,Engagement"
78,framesdb/images/frame_63mtckpdjfc0y9q8.jpg,"Anticipation,Peace,Yearning"
79,framesdb/images/frame_98zn80gxar4u0kzg.jpg,"Annoyance,Disapproval,Engagement"
82,framesdb/images/frame_1cnsgmoppetoruv9.jpg,Engagement
84,framesdb/images/frame_1cnsgmoppetoruv9.jpg,Engagement
85,framesdb/images/frame_hqxrmmcc6c2zqzr4.jpg,"Excitement,Happiness"
87,framesdb/images/frame_ek3zcwpt9ed6j6gm.jpg,Engagement
89,framesdb/images/frame_4b7yta6mg9sm2x6n.jpg,Surprise
90,framesdb/images/frame_fvot32utqi78m926.jpg,Disconnection
92,mscoco/images/COCO_train2014_000000256276.jpg,"Engagement,Excitement,Happiness"
93,framesdb/images/frame_6npxf90s9ozbfo99.jpg,"Disconnection,Peace"
94,framesdb/images/frame_gfeivpuiazkxf29e.jpg,"Happiness,Surprise"
95,framesdb/images/frame_jbtqq5ahai9ylby3.jpg,Anger
96,framesdb/images/frame_jbtqq5ahai9ylby3.jpg,"Confidence,Engagement"
97,mscoco/images/COCO_train2014_000000199865.jpg,"Confidence,Engagement,Excitement"
98,framesdb/images/frame_2m658fp3xgkeqkug.jpg,"Happiness,Pleasure"
99,mscoco/images/COCO_train2014_000000441828.jpg,"Confidence,Engagement,Excitement"
100,emodb_small/images/03tzxn73art6yidfhe.jpg,"Anticipation,Engagement,Pleasure"
101,ade20k/images/sun_ajjqvlkgojhqxjal.jpg,Engagement
103,framesdb/images/frame_c9ctv7ctm2dnic4v.jpg,"Engagement,Esteem"
105,framesdb/images/frame_c9ctv7ctm2dnic4v.jpg,"Affection,Confidence,Engagement"
106,framesdb/images/frame_k43u0wqy98p0ihaw.jpg,Happiness
107,framesdb/images/frame_k43u0wqy98p0ihaw.jpg,"Excitement,Happiness,Peace"
108,framesdb/images/frame_8add2r7r1w3oj417.jpg,Disconnection
109,emodb_small/images/9jhdi4c8zh2fruuuz8.jpg,"Anticipation,Doubt/Confusion,Engagement"
110,framesdb/images/frame_4pnnwfq2nvd0l7sk.jpg,Engagement
111,emodb_small/images/edknfl4d7l58nt06sm.jpg,"Annoyance,Aversion,Fatigue,Suffering"
112,framesdb/images/frame_a7xhjxzcp8nhw69p.jpg,Engagement
116,mscoco/images/COCO_val2014_000000468993.jpg,"Disconnection,Engagement,Fatigue"
117,framesdb/images/frame_3oyfqqmeecsjb728.jpg,"Engagement,Happiness,Pleasure"
118,framesdb/images/frame_gko26fo2wzz06i1r.jpg,Engagement
119,framesdb/images/frame_gko26fo2wzz06i1r.jpg,"Excitement,Happiness"
120,framesdb/images/frame_gko26fo2wzz06i1r.jpg,Engagement
121,framesdb/images/frame_8z9jb1ci5zo2x7tt.jpg,Engagement
122,framesdb/images/frame_8z9jb1ci5zo2x7tt.jpg,Engagement
123,framesdb/images/frame_8z9jb1ci5zo2x7tt.jpg,Engagement
124,framesdb/images/frame_8z9jb1ci5zo2x7tt.jpg,Engagement
126,emodb_small/images/007eear5kx5qhbzewz.jpg,"Affection,Happiness,Pleasure"
127,emodb_small/images/007eear5kx5qhbzewz.jpg,"Affection,Confidence,Happiness"
128,framesdb/images/frame_dmt5sh6c2mlvoqp0.jpg,"Anticipation,Engagement,Happiness"
129,framesdb/images/frame_dmt5sh6c2mlvoqp0.jpg,"Excitement,Happiness"
130,framesdb/images/frame_dmt5sh6c2mlvoqp0.jpg,"Engagement,Excitement,Happiness"
131,mscoco/images/COCO_train2014_000000544819.jpg,"Anticipation,Engagement"
133,mscoco/images/COCO_train2014_000000466845.jpg,Engagement
134,framesdb/images/frame_isu79b1cwubdfhmg.jpg,Engagement
135,framesdb/images/frame_e2f1a6s2780ils40.jpg,Disconnection
137,framesdb/images/frame_5mtdu6yxgkltk8nc.jpg,Engagement
138,emodb_small/images/2wd2hxmqz5sbgy2ypo.jpg,"Affection,Happiness,Pleasure,Sensitivity,Sympathy"
139,emodb_small/images/2wd2hxmqz5sbgy2ypo.jpg,"Affection,Engagement,Excitement,Happiness,Pleasure"
